db2eeaf2-ecc1-42c0-ad78-7fb38128c222,ekane,Where is the best place in East Nashville for an oil change?,public
c16568c4-71ae-426e-bd52-10b2422bf960,jkane,anyone have a weedeater i can borrow,public
2dd79c06-7452-4e1a-b462-b8335a30b8fc,rtanay,The new Windows shell is out and it sucks,public
47f9a8c4-d4b8-4667-857f-482ff329c453,rtanay,"Yeah man, you can borrow mine any time",public
c35149e4-de5b-44e6-925e-261941b58f16,rtanay,Just let me know when you want to come grab it,public
2f9b1344-e291-450c-917b-caf81989e6bd,jkane,"thanks man, ill stop by after work",public
9fdbd750-bb99-414b-b8d0-a3cdf1ce1466,jkane,i put it back where i got it from,public
cacb172a-b9e4-4f98-a596-ea452ab20c17,ekane,jkane,Can you grab some corn cobs on your way home please?,private
3f8bd6fb-a06b-4d7d-ab90-550ec64cf4ce,ekane,Thanks so much rtanay!,public
b0c3f848-80cc-4ca1-bd01-2e0b9cf6e3c3,ekane,jkane,Can you pick up some corn cobs on your way home?,private
